2026-04-06 23:03:38,029 | INFO     | data.markets | Fetched 6200 markets so far...
2026-04-06 23:03:38,686 | INFO     | data.markets | Fetched 6300 markets so far...
2026-04-06 23:03:39,264 | INFO     | data.markets | Fetched 6400 markets so far...
2026-04-06 23:03:39,867 | INFO     | data.markets | Fetched 6500 markets so far...
2026-04-06 23:03:40,397 | INFO     | data.markets | Fetched 6600 markets so far...
2026-04-06 23:03:41,063 | INFO     | data.markets | Fetched 6700 markets so far...
2026-04-06 23:03:41,763 | INFO     | data.markets | Fetched 6800 markets so far...
2026-04-06 23:03:42,333 | INFO     | data.markets | Fetched 6900 markets so far...
2026-04-06 23:03:42,839 | INFO     | data.markets | Fetched 7000 markets so far...
2026-04-06 23:03:43,404 | INFO     | data.markets | Fetched 7100 markets so far...
2026-04-06 23:03:43,990 | INFO     | data.markets | Fetched 7200 markets so far...
2026-04-06 23:03:44,535 | INFO     | data.markets | Fetched 7300 markets so far...
2026-04-06 23:03:45,134 | INFO     | data.markets | Fetched 7400 markets so far...
2026-04-06 23:03:45,719 | INFO     | data.markets | Fetched 7500 markets so far...
2026-04-06 23:03:46,309 | INFO     | data.markets | Fetched 7600 markets so far...
2026-04-06 23:03:46,848 | INFO     | data.markets | Fetched 7700 markets so far...
2026-04-06 23:03:47,401 | INFO     | data.markets | Fetched 7800 markets so far...
2026-04-06 23:03:48,085 | INFO     | data.markets | Fetched 7900 markets so far...
2026-04-06 23:03:48,676 | INFO     | data.markets | Fetched 8000 markets so far...
2026-04-06 23:03:49,260 | INFO     | data.markets | Fetched 8100 markets so far...
2026-04-06 23:03:49,844 | INFO     | data.markets | Fetched 8200 markets so far...
2026-04-06 23:03:50,455 | INFO     | data.markets | Fetched 8300 markets so far...
2026-04-06 23:03:51,041 | INFO     | data.markets | Fetched 8400 markets so far...
2026-04-06 23:03:51,658 | INFO     | data.markets | Fetched 8500 markets so far...
2026-04-06 23:03:52,248 | INFO     | data.markets | Fetched 8600 markets so far...
2026-04-06 23:03:53,014 | INFO     | data.markets | Fetched 8700 markets so far...
2026-04-06 23:03:53,814 | INFO     | data.markets | Fetched 8800 markets so far...
2026-04-06 23:03:54,429 | INFO     | data.markets | Fetched 8900 markets so far...
2026-04-06 23:03:55,071 | INFO     | data.markets | Fetched 9000 markets so far...
2026-04-06 23:03:55,813 | INFO     | data.markets | Fetched 9100 markets so far...
2026-04-06 23:03:56,476 | INFO     | data.markets | Fetched 9200 markets so far...
2026-04-06 23:03:57,118 | INFO     | data.markets | Fetched 9300 markets so far...
2026-04-06 23:03:57,747 | INFO     | data.markets | Fetched 9400 markets so far...
2026-04-06 23:03:58,363 | INFO     | data.markets | Fetched 9500 markets so far...
2026-04-06 23:03:58,924 | INFO     | data.markets | Fetched 9600 markets so far...
2026-04-06 23:03:59,476 | INFO     | data.markets | Fetched 9700 markets so far...
2026-04-06 23:04:00,040 | INFO     | data.markets | Fetched 9800 markets so far...
2026-04-06 23:04:00,690 | INFO     | data.markets | Fetched 9900 markets so far...
2026-04-06 23:04:01,323 | INFO     | data.markets | Fetched 10000 markets so far...
2026-04-06 23:04:02,132 | INFO     | data.markets | Fetched 10100 markets so far...
2026-04-06 23:04:02,872 | INFO     | data.markets | Fetched 10200 markets so far...
2026-04-06 23:04:03,513 | INFO     | data.markets | Fetched 10300 markets so far...
2026-04-06 23:04:04,093 | INFO     | data.markets | Fetched 10400 markets so far...
2026-04-06 23:04:04,758 | INFO     | data.markets | Fetched 10500 markets so far...
2026-04-06 23:04:05,360 | INFO     | data.markets | Fetched 10600 markets so far...
2026-04-06 23:04:06,049 | INFO     | data.markets | Fetched 10700 markets so far...
2026-04-06 23:04:06,805 | INFO     | data.markets | Fetched 10800 markets so far...
2026-04-06 23:04:07,387 | INFO     | data.markets | Fetched 10900 markets so far...
2026-04-06 23:04:08,054 | INFO     | data.markets | Fetched 11000 markets so far...
2026-04-06 23:04:08,691 | INFO     | data.markets | Fetched 11100 markets so far...
2026-04-06 23:04:09,294 | INFO     | data.markets | Fetched 11200 markets so far...
2026-04-06 23:04:09,903 | INFO     | data.markets | Fetched 11300 markets so far...
2026-04-06 23:04:10,551 | INFO     | data.markets | Fetched 11400 markets so far...
2026-04-06 23:04:11,207 | INFO     | data.markets | Fetched 11500 markets so far...
2026-04-06 23:04:11,831 | INFO     | data.markets | Fetched 11600 markets so far...
2026-04-06 23:04:12,402 | INFO     | data.markets | Fetched 11700 markets so far...
2026-04-06 23:04:12,974 | INFO     | data.markets | Fetched 11800 markets so far...
2026-04-06 23:04:13,549 | INFO     | data.markets | Fetched 11900 markets so far...
2026-04-06 23:04:14,187 | INFO     | data.markets | Fetched 12000 markets so far...
2026-04-06 23:04:14,961 | INFO     | data.markets | Fetched 12100 markets so far...
2026-04-06 23:04:15,722 | INFO     | data.markets | Fetched 12200 markets so far...
2026-04-06 23:04:16,449 | INFO     | data.markets | Fetched 12300 markets so far...
2026-04-06 23:04:17,149 | INFO     | data.markets | Fetched 12400 markets so far...
2026-04-06 23:04:18,013 | INFO     | data.markets | Fetched 12500 markets so far...
2026-04-06 23:04:18,703 | INFO     | data.markets | Fetched 12600 markets so far...
2026-04-06 23:04:19,330 | INFO     | data.markets | Fetched 12700 markets so far...
2026-04-06 23:04:19,919 | INFO     | data.markets | Fetched 12800 markets so far...
2026-04-06 23:04:20,507 | INFO     | data.markets | Fetched 12900 markets so far...
2026-04-06 23:04:21,078 | INFO     | data.markets | Fetched 13000 markets so far...
2026-04-06 23:04:21,850 | INFO     | data.markets | Fetched 13100 markets so far...
2026-04-06 23:04:22,651 | INFO     | data.markets | Fetched 13200 markets so far...
2026-04-06 23:04:23,489 | INFO     | data.markets | Fetched 13300 markets so far...
2026-04-06 23:04:24,214 | INFO     | data.markets | Fetched 13400 markets so far...
2026-04-06 23:04:24,975 | INFO     | data.markets | Fetched 13500 markets so far...
2026-04-06 23:04:25,733 | INFO     | data.markets | Fetched 13600 markets so far...
2026-04-06 23:04:26,656 | INFO     | data.markets | Fetched 13700 markets so far...
2026-04-06 23:04:27,548 | INFO     | data.markets | Fetched 13800 markets so far...
2026-04-06 23:04:28,424 | INFO     | data.markets | Fetched 13900 markets so far...
2026-04-06 23:04:29,213 | INFO     | data.markets | Fetched 14000 markets so far...
2026-04-06 23:04:30,178 | INFO     | data.markets | Fetched 14100 markets so far...
2026-04-06 23:04:31,172 | INFO     | data.markets | Fetched 14200 markets so far...
2026-04-06 23:04:31,928 | INFO     | data.markets | Fetched 14300 markets so far...
2026-04-06 23:04:32,885 | INFO     | data.markets | Fetched 14400 markets so far...
2026-04-06 23:04:33,793 | INFO     | data.markets | Fetched 14500 markets so far...
2026-04-06 23:04:34,696 | INFO     | data.markets | Fetched 14600 markets so far...
2026-04-06 23:04:35,441 | INFO     | data.markets | Fetched 14700 markets so far...
2026-04-06 23:04:36,239 | INFO     | data.markets | Fetched 14800 markets so far...
2026-04-06 23:04:37,061 | INFO     | data.markets | Fetched 14900 markets so far...
2026-04-06 23:04:37,803 | INFO     | data.markets | Fetched 15000 markets so far...
2026-04-06 23:04:38,557 | INFO     | data.markets | Fetched 15100 markets so far...
2026-04-06 23:04:39,460 | INFO     | data.markets | Fetched 15200 markets so far...
2026-04-06 23:04:40,399 | INFO     | data.markets | Fetched 15300 markets so far...
2026-04-06 23:04:41,217 | INFO     | data.markets | Fetched 15400 markets so far...
2026-04-06 23:04:42,169 | INFO     | data.markets | Fetched 15500 markets so far...
2026-04-06 23:04:43,133 | INFO     | data.markets | Fetched 15600 markets so far...
2026-04-06 23:04:43,946 | INFO     | data.markets | Fetched 15700 markets so far...
2026-04-06 23:04:45,055 | INFO     | data.markets | Fetched 15800 markets so far...
2026-04-06 23:04:45,775 | INFO     | data.markets | Fetched 15900 markets so far...
2026-04-06 23:04:46,593 | INFO     | data.markets | Fetched 16000 markets so far...
2026-04-06 23:04:47,454 | INFO     | data.markets | Fetched 16100 markets so far...
2026-04-06 23:04:48,263 | INFO     | data.markets | Fetched 16200 markets so far...
